"","gender","age","country","country_en","country_mi","ethniceng","ethnicmri","ethnicwsm","ethniccok","ethnicton","ethnicniu","ethnicchn","ethnicind","ethnicother","ethnicother_en","ethnicother_mi","languages","handed","height","rightfoot","armspan","wrist","neck","popliteal","indexfinger","ringfinger","hairlength","travel","timetravel","bagweightraw","bagweight","bagcarry","favlearning","favlearningmo","memory","reaction","sport","sport_en","techtv","techmp3","techinternet","techmobinternet","techfacebook","techtwitter","techbebo","techmyspace","techskype","techconsole","technone","cellmonths","onlinemusic","onlinevideo","onlinegame","onlinefriend","onlineschool","onlineother","onlinenone","bedtime","waketime","favtvshow","favtvshow_en","importwarm","importpollution","importrecycling","importwater","importlifestyle","importenergy","importgovern","importcomputer","region","year"
"15020","female","13","newzealand","NZL","NZL","no","no","no","no","no","no","no","no","DUTCH","Dutch","","1","right","165","22","159","15","31","44","76","87","395","bus","20","3600","3600","two","arts","english","43","0.43","Netball","Netball","no","yes","yes","no","yes","no","no","no","yes","yes","no","12","no","yes","yes","yes","yes","no","no","9:30:00","5:45:00","Glee","Glee","-32","-32","-32","-32","-11","-31","-46","35",3,9
"17820","male","13","south korea","KOR","KOR","no","no","no","no","no","no","no","no","korean","Korean","K?rea","2","right","174","24","180","18","35","46","110","100","10","bus","30","8000","8000","two","science","arts","35","0.349","Ball sports using sticks (cricket, baseball, hockey, lacrosse, jai lai)","Ball sports using sticks (cricket, baseball, hockey, lacrosse, jai lai)","no","no","no","no","no","no","no","no","no","no","yes","16","no","no","no","no","yes","no","no","10:30:00","6:30:00","Malcom in the middle","Malcolm in the Middle","2","3","2","2","45","5","-1","-2",3,9
"16629","male","13","newzealand","NZL","NZL","no","yes","no","no","no","no","no","no","","","","1","right","172","NA","186","18","35","44","90","90","220","motor","3","19","NA","two","arts","arts","42","NA","Rugby","Rugby","yes","yes","yes","yes","yes","no","yes","no","no","yes","no","6","yes","yes","yes","yes","no","no","no","10:00:00","7:00:00","Rugby show","Rugby","100","33","70","100","100","100","26","100",9,9
"22489","male","11","scotland","GBR","GBR","yes","no","no","no","no","no","no","no","","","","5","ambi","157","24","167","16","33","45","93","95","36","motor","14","2900","2900","two","arts","science","31","0.364","Racket sports (tennis, squash, badminton)","Racket sports (tennis, squash, badminton)","yes","no","yes","yes","yes","no","no","no","yes","yes","no","NA","yes","no","yes","yes","no","no","no","9:15:00","5:30:00","House of anubis","House of Anubis","0","-16","-2","4","-8","-14","1","40",3,7
"13735","female","15","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","154","24","148","15","31","44","70","73","382","walk","5","3000","3000","two","health","health","35","0.618","Other","Other","no","no","yes","yes","yes","no","no","no","no","yes","no","17","no","no","no","yes","yes","no","no","22:00:00","6:45:00","Glee","Glee","-85","-89","-73","-45","99","-51","-91","-12",4,11
"21099","female","16","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","2","right","167","24","169","14","34","44","90","85","49","bus","25","6000","6000","two","arts","english","41","0.41","Running or jogging","Running or jogging","no","yes","yes","yes","yes","no","no","no","yes","yes","no","8","yes","yes","no","yes","no","no","no","10:15:00","5:15:00","Criminal minds","Criminal Minds","11","40","18","58","88","12","-22","63",3,12
"7233","female","12","newzealand","NZL","NZL","yes","no","no","no","no","no","no","no","","","","1","right","145","23","146","15","32","37","64","59","270","walk","15","5000","5000","one","english","english","59","NA","Netball","Netball","yes","yes","yes","yes","yes","no","no","no","yes","yes","no","3","yes","yes","yes","yes","no","no","no","9:15:00","7:15:00","Shortland street","Shortland Street","NA","NA","-32","NA","1","NA","NA","1",10,8
"22456","female","10","newzealand","NZL","NZL","no","no","no","no","no","no","yes","no","","","","2","right","145","21","147","NA","30","NA","82","82","40","walk","10","300","300","two","mathstats","arts","33","0.552","Dancing","Dancing","no","no","yes","no","no","no","no","no","yes","yes","no","4","no","no","no","no","no","no","yes","9:00:00","7:15:00","Docter who","Dr Who","100","100","100","100","100","100","100","100",14,6
"12812","female","17","chile","COK","COK","no","no","no","no","no","no","no","no","chilean","","NA","2","right","180","25","150","NA","NA","NA","83","89","230","motor","5","1","NA","diagonal","arts","mathstats","43","2.922","Other","Other","no","no","yes","no","yes","no","yes","no","yes","no","no","1","no","no","no","yes","no","no","no","11:00:00","7:00:00","Shortland street","Shortland Street","0","-15","12","-60","3","-8","NA","-38",3,12
"15836","male","11","samoa","WSM","WSM","no","no","yes","no","no","no","no","no","","","","2","right","143","23","143","17","NA","40","75","75","2","walk","1","200","NA","one","health","social","54","NA","Rugby","Rugby","yes","yes","yes","no","yes","no","no","no","yes","yes","no","4","no","yes","yes","no","no","no","no","12:00:00","7:00:00","Jersy shore","Jersey Shore","NA","NA","NA","NA","100","NA","NA","-100",3,7
