Course,Gender,Element,Zodiac,Season,NumCountries,Ethnicity,WeightActual,WeightIdeal,WeightDiff,Vote,Religion,Driving,NumYears,Speed,Tickets,Looks,Intelligence,SocialMedia,DayBorn,Under20,TxtSent,StudentLoan,DrinkSpend,DrinkCount,Earning,Work,Confidence,Extravagance,Shoes
S101,Female,Earth,Taurus,Autumn,5,NZ.European,62,55,7,National,No,AboveAverage,18,100,No,6.8,7.2,210,Saturday,Yes,50,Yes,Low,Low,DontKnow,Yes,56.3,63.3,18
S101,Male,Earth,Virgo,Winter,1,NZ.European,65,70,-5,National,No,AboveAverage,18,130,No,6.6,7.1,30,Wednesday,Yes,5,Yes,None,Low,Medium,No,55.6,49.4,3
S108,Male,Water,Cancer,Winter,1,Indian,81,90,-9,National,Yes,Excellent,18,100,No,6,7.7,5,Friday,Yes,12,Yes,High,Low,High,No,60.8,47.3,3
S108,Female,Fire,Aries,Autumn,2,Korean,56,50,6,Green,Yes,BelowAverage,17,100,No,3.1,7.3,150,Sunday,Yes,20,Yes,None,None,Low,Yes,38.9,51.2,10
S108,Female,Earth,Capricorn,Summer,1,Chinese,50,45,5,None,No,Poor,1,0,No,1,7.3,300,Saturday,Yes,20,No,None,None,Low,No,23.6,57.2,6
S101G,Female,Fire,Aries,Autumn,0,Chinese,43,43,0,None,Yes,Average,21,0,No,10,10,60,Friday,No,35,Yes,None,None,DontKnow,No,79.2,45.7,17
S101,Male,Fire,Sagittarius,Summer,1,Korean,64,70,-6,Labour,No,Average,16,110,No,5.6,4.8,239,Saturday,No,100,Yes,None,Low,Medium,Yes,44.8,58.6,3
S101,Male,Fire,Leo,Winter,5,Other,75,75,0,Green,Yes,AboveAverage,2,100,No,6.2,6.9,300,Tuesday,Yes,50,No,None,None,Medium,No,59.7,67.2,4
S108,Female,Earth,Virgo,Spring,5,Indian,42,50,-8,National,No,Average,18,100,No,5.2,2.5,240,Wednesday,Yes,40,Yes,None,None,Low,No,22.8,65.4,8
S101G,Female,Air,Aquarius,Summer,4,Other,58,50,8,None,Yes,AboveAverage,12,0,No,9.9,6.8,150,Tuesday,Yes,100,Yes,None,None,High,No,64.3,57.1,10
S108,Female,Earth,Virgo,Spring,11,NZ.European,65,65,0,Green,Yes,AboveAverage,14,100,No,9.5,9.5,10,Thursday,No,5,No,None,None,DontKnow,No,77.4,44.7,30
S101,Male,Air,Aquarius,Summer,3,Other,90,80,10,Labour,No,Average,12,110,No,4.8,6.1,150,Friday,Yes,1,Yes,None,None,Medium,No,44.8,57.5,7
S101,Female,Fire,Aries,Autumn,6,Korean,45,44,1,None,No,Average,4,0,No,6.1,7,180,Thursday,Yes,300,No,High,Low,Medium,No,56.4,70.8,10
S101,Male,Water,Piscies,Autumn,2,Chinese,80,72,8,Labour,No,Excellent,11,90,No,8,7.4,60,Thursday,Yes,2,Yes,None,None,Medium,No,61.5,51.2,10
