Order,Latitude,Longitude,Depth,Felt,Magnitude,RMS,NorMidSth,Month,Day,Hour,Minute
230,-39.40033944,175.6452269,-101,Y,5.585,0.193,North,9,24,15,26
231,-37.24575515,177.1926811,-174,N,4.277,0.148,North,9,24,16,21
232,-37.20262725,177.3980921,-138,N,4.143,0.202,North,9,25,1,53
233,-37.54344893,177.109397,-5,Y,4.816,0.178,North,9,25,4,25
234,-38.83956361,177.9734811,-39,Y,4.322,0.182,North,9,28,8,21
235,-38.41108546,176.058042,-141,N,4.12,0.265,North,9,29,16,57
236,-42.10572525,172.8433565,-78,N,4.155,0.313,Mid,9,29,19,15
237,-41.55922123,174.3737536,-12,Y,4.707,0.194,North,10,1,15,4
238,-43.19980598,171.0506218,-5,N,4.203,0.158,Mid,10,2,16,58
239,-43.18733571,171.0847517,-5,N,4.458,0.185,Mid,10,3,0,15
240,-39.87488532,175.2727598,-30,Y,4.064,0.252,North,10,7,16,49
241,-36.68063231,177.0858255,-209,N,4.205,0.532,North,10,8,17,21
242,-37.82297756,176.1142508,-211,N,4.047,0.244,North,10,11,14,5
243,-46.42669852,169.2356988,-15,Y,4.369,0.163,South,10,12,8,40
244,-42.00309127,174.0530088,-12,N,4.448,0.374,North,10,13,23,10
245,-40.44666474,174.6833522,-68,Y,4.521,0.174,North,10,14,17,37
246,-36.41442067,177.1611367,-252,N,4.315,0.094,North,10,18,12,17
247,-41.5552365,178.0895781,-33,N,4.086,0.314,North,10,19,22,7
248,-36.59896147,177.424402,-179,N,4.227,0.207,North,10,19,22,21
249,-38.18633243,176.1589229,-196,N,4.501,0.224,North,10,20,9,18
250,-44.0994725,168.7285828,-5,Y,4.739,0.164,South,10,21,0,34
251,-37.7348369,176.4012926,-293,N,4.653,0.179,North,10,22,3,41
252,-40.217016,173.4416278,-177,N,4.126,0.179,North,10,25,5,3
253,-38.18376233,176.1261628,-164,N,4.397,0.164,North,10,26,2,48
254,-38.32456395,175.9847416,-170,Y,5.284,0.193,North,10,27,16,34
255,-37.06611478,177.3408451,-157,N,4.942,0.17,North,10,27,16,52
256,-37.08087741,177.5011546,-116,N,4.35,0.199,North,10,28,0,39
257,-39.82525773,173.9168103,-212,N,4.019,0.298,North,10,30,1,24
258,-38.04664066,176.143512,-178,N,4.128,0.165,North,10,30,11,5
259,-40.77759134,174.9984639,-51,Y,5.23,0.161,North,10,30,16,32
260,-40.9978151,174.6885462,-39,Y,4.174,0.217,North,10,31,13,51
261,-36.80791081,176.8071258,-260,N,4.108,0.175,North,10,31,15,54
262,-45.11558268,166.9462295,-9,Y,6.226,0.127,South,11,1,10,35
263,-45.24382641,167.1160678,-9,N,4.994,0.357,South,11,1,10,37
264,-45.0983818,166.950029,-9,N,4.309,0.507,South,11,1,10,38
265,-45.15746339,167.0497135,-9,N,4.274,0.306,South,11,1,10,39
266,-45.17521391,167.0769847,-9,N,4.376,0.172,South,11,1,10,40
267,-45.13006239,167.024992,-9,N,4.316,0.261,South,11,1,10,41
268,-45.13001233,167.0287921,-9,N,4.188,0.227,South,11,1,10,51
269,-45.1666332,167.099205,-9,Y,4.441,0.255,South,11,1,11,44
270,-45.19540457,167.100806,-9,Y,4.855,0.314,South,11,1,12,9
271,-45.15151268,167.0828441,-9,N,4.413,0.162,South,11,1,14,46
272,-45.14511374,166.9756912,-9,N,4.096,0.211,South,11,1,20,30
273,-45.11505071,167.1000733,-9,N,4.333,0.307,South,11,1,22,5
274,-39.86806915,174.4915372,-107,N,4.14,0.286,North,11,2,17,35
275,-39.18518918,174.8860642,-222,N,4.058,0.154,North,11,3,1,43
276,-45.14306341,166.9937016,-26,N,4.638,0.235,South,11,4,5,41
277,-38.6808982,175.9298107,-121,N,4.131,0.253,North,11,4,11,20
278,-37.60842447,176.4155134,-192,N,4.315,0.233,North,11,5,11,41
279,-37.34453972,176.5223559,-262,N,4.001,0.213,North,11,6,10,39
280,-44.25898793,168.1717141,-5,N,4.31,0.129,South,11,11,23,57
281,-42.0781948,172.9150876,-79,N,4.152,0.217,Mid,11,12,3,11
282,-45.15138298,167.0593735,-26,Y,5.472,0.226,South,11,12,11,49
283,-45.34611712,166.6521798,-21,N,4.864,0.157,South,11,12,19,9
284,-37.25709613,177.256801,-202,N,4.027,0.424,North,11,14,5,2
285,-36.52171649,177.1283423,-12,N,4.129,0.7,North,11,14,6,53
286,-40.28167741,173.537408,-160,N,4.038,0.178,North,11,14,14,53
287,-45.0946405,167.0380712,-17,N,4.824,0.171,South,11,14,17,26
288,-38.11584362,176.5556933,-123,N,4.513,0.155,North,11,15,9,4
289,-40.5678863,176.895827,-32,Y,4.801,0.144,North,11,17,20,38
290,-38.45649683,178.6443918,-27,N,4.132,0.303,North,11,18,14,42
291,-42.160602,172.1908794,-12,Y,4.333,0.234,Mid,11,18,19,52
292,-45.24497357,167.362054,-105,N,4.108,0.201,South,11,19,23,25
293,-45.16626428,167.0139829,-21,N,4.547,0.18,South,11,21,11,7
294,-37.25594498,177.1665309,-5,N,4.183,0.344,North,11,22,1,42
